College,Department,Category,Cutoff
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EE Electrical,SCK,81527
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EE Electrical,SCR,109280
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EE Electrical,STG,57012
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,EE Electrical,STR,66517
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,IE Info.Science,1G,8646
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,IE Info.Science,2AG,8508
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,IE Info.Science,2AR,10046
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,IE Info.Science,2BG,11837
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,IE Info.Science,2BK,30724
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,IE Info.Science,3AG,6958
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,IE Info.Science,3AR,9527
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,IE Info.Science,3BG,6907
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,IE Info.Science,GM,6756
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,IE Info.Science,GMK,9396
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,IE Info.Science,GMR,8256
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,IE Info.Science,SCG,29554
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,IE Info.Science,SCR,35459
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,IE Info.Science,STG,35462
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,IE Info.Science,STR,36505
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,1G,79483
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,1R,94481
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,2AG,75384
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,2AK,76913
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,2AR,78869
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,2BG,80349
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,2BR,181018
E001 University of Visvesvaraya College of Engineering Bangalore PUBLIC UNIV,ME Mechanical,3AG,57794
